Metric,Value
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79997
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000535655
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.000494259
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000263895
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.000494259
design_powergrid__voltage__worst,0.000494259
design_powergrid__voltage__worst__net:VPWR,1.79946
design_powergrid__drop__worst,0.000535655
design_powergrid__drop__worst__net:VPWR,0.000535655
design_powergrid__voltage__worst__net:VGND,0.000494259
design_powergrid__drop__worst__net:VGND,0.000494259
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00002689999999999999994739451059100332486195839010179042816162109375
ir__drop__worst,0.00053600000000000001809663530139005160890519618988037109375
magic__drc_error__count,4764805
klayout__drc_error__count,12
magic__illegal_overlap__count,70
design__lvs_device_difference__count,0
design__lvs_net_difference__count,9
design__lvs_property_fail__count,0
design__lvs_error__count,66
design__lvs_unmatched_device__count,7
design__lvs_unmatched_net__count,9
design__lvs_unmatched_pin__count,41
